,angle_x,angle_y,angle_z,target
0,3.34,6.86,-3.94,0
1,3.28,6.67,-3.94,0
2,3.21,6.48,-3.94,0
3,3.13,6.3,-3.94,0
4,3.07,6.2,-3.96,0
5,3.03,6.1,-3.99,0
6,2.95,5.97,-4.02,0
7,2.89,5.88,-4.05,0
8,2.83,5.82,-4.1,0
9,2.78,5.8,-4.16,0
10,2.72,5.76,-4.21,0
11,2.66,5.71,-4.25,0
12,2.6,5.65,-4.33,0
13,2.53,5.61,-4.43,0
14,2.46,5.56,-4.51,0
15,2.38,5.46,-4.57,0
16,2.3,5.41,-4.65,0
17,2.23,5.32,-4.71,0
18,2.15,5.3,-4.74,0
19,2.12,5.24,-4.83,0
20,2.08,5.22,-5.01,0
21,2.04,5.27,-5.23,0
22,1.96,4.89,-5.27,0
23,1.93,4.91,-5.39,0
24,1.89,4.9,-5.47,0
25,1.86,4.87,-5.53,0
26,1.83,4.8,-5.57,0
27,1.77,4.74,-5.58,0
28,1.72,4.69,-5.55,0
29,1.68,4.64,-5.51,0
30,1.62,4.55,-5.49,0
31,1.55,4.43,-5.48,0
32,1.5,4.33,-5.47,0
33,1.47,4.25,-5.46,0
34,1.43,4.14,-5.35,0
35,1.38,4.05,-5.29,0
36,1.32,3.98,-5.26,0
37,1.29,3.92,-5.22,0
38,1.28,3.84,-5.18,0
39,1.23,3.75,-5.16,0
40,1.18,3.65,-5.13,0
41,1.15,3.56,-5.12,0
42,1.12,3.48,-5.11,0
43,1.09,3.41,-5.08,0
44,1.06,3.35,-5.06,0
45,1.03,3.28,-5.04,0
46,0.99,3.21,-5.03,0
47,0.95,3.15,-5.02,0
48,0.91,3.1,-5.01,0
49,0.87,3.06,-5.0,0
50,0.82,3.0,-4.98,0
51,0.79,2.94,-4.98,0
52,0.76,2.9,-4.97,0
53,0.73,2.85,-4.96,0
54,0.7,2.8,-4.95,0
55,0.69,2.72,-4.94,0
56,0.66,2.67,-4.94,0
57,0.65,2.63,-4.93,0
58,0.63,2.57,-4.93,0
59,0.6,2.51,-4.92,0
60,0.58,2.47,-4.91,0
61,0.55,2.43,-4.89,0
62,0.52,2.38,-4.86,0
63,0.49,2.31,-4.85,0
64,0.47,2.26,-4.84,0
65,0.46,2.22,-4.83,0
66,0.45,2.19,-4.82,0
67,0.42,2.15,-4.81,0
68,0.4,2.12,-4.81,0
69,0.38,2.09,-4.8,0
70,0.36,2.06,-4.75,0
71,0.33,2.02,-4.73,0
72,0.32,1.98,-4.72,0
73,0.3,1.93,-4.7,0
74,0.29,1.89,-4.7,0
75,0.28,1.86,-4.69,0
76,0.26,1.81,-4.69,0
77,0.23,1.76,-4.68,0
78,0.21,1.71,-4.67,0
79,0.2,1.69,-4.67,0
80,0.18,1.66,-4.66,0
81,0.16,1.64,-4.65,0
82,0.14,1.61,-4.64,0
83,0.12,1.58,-4.63,0
84,0.11,1.56,-4.63,0
85,0.11,1.51,-4.62,0
86,0.1,1.5,-4.61,0
87,0.09,1.49,-4.61,0
88,0.07,1.46,-4.6,0
89,0.06,1.45,-4.59,0
90,0.05,1.42,-4.59,0
91,0.03,1.4,-4.58,0
92,0.01,1.38,-4.57,0
93,0.0,1.37,-4.56,0
94,0.0,1.36,-4.54,0
95,0.0,1.34,-4.52,0
96,-0.03,1.31,-4.5,0
97,-0.05,1.26,-4.48,0
98,-0.07,1.23,-4.47,0
99,-0.09,1.2,-4.46,0
100,-0.09,1.18,-4.43,0
101,-0.11,1.19,-4.41,0
102,-0.12,1.17,-4.4,0
103,-0.13,1.16,-4.38,0
104,-0.14,1.14,-4.36,0
105,-0.15,1.12,-4.35,0
106,-0.14,1.11,-4.34,0
107,-0.15,1.06,-4.32,0
108,-0.15,1.0,-4.3,0
109,-0.15,0.95,-4.29,0
110,-0.16,0.9,-4.29,0
111,-0.18,0.87,-4.26,0
112,-0.18,0.81,-4.22,0
113,-0.2,0.76,-4.19,0
114,-0.19,0.75,-4.17,0
115,-0.19,0.74,-4.15,0
116,-0.19,0.72,-4.13,0
117,-0.21,0.69,-4.09,0
118,-0.22,0.66,-4.09,0
119,-0.23,0.65,-4.09,0
120,-0.25,0.63,-4.1,0
121,-0.28,0.62,-4.11,0
122,-0.28,0.61,-4.11,0
123,-0.29,0.6,-4.12,0
124,-0.3,0.59,-4.12,0
125,-0.3,0.58,-4.12,0
126,-0.3,0.58,-4.12,0
127,-0.28,0.55,-4.12,0
128,-0.27,0.51,-4.12,0
129,-0.27,0.45,-4.12,0
130,-0.28,0.41,-4.13,0
131,-0.28,0.39,-4.14,0
132,-0.28,0.38,-4.14,0
133,-0.29,0.38,-4.14,0
134,-0.29,0.41,-4.15,0
135,-0.28,0.41,-4.15,0
136,-0.27,0.38,-4.18,0
137,-0.26,0.32,-4.21,0
138,-0.26,0.29,-4.24,0
139,-0.26,0.28,-4.24,0
140,-0.27,0.28,-4.23,0
141,-0.27,0.27,-4.22,0
142,-0.26,0.25,-4.21,0
143,-0.25,0.25,-4.21,0
144,-0.25,0.26,-4.21,0
145,-0.25,0.27,-4.21,0
146,-0.26,0.29,-4.2,0
147,-0.26,0.27,-4.19,0
148,-0.27,0.25,-4.18,0
149,-0.3,0.2,-4.17,0
150,-0.33,0.16,-4.17,0
151,-0.36,0.15,-4.17,0
152,-0.36,0.13,-4.17,0
153,-0.37,0.13,-4.18,0
154,-0.35,0.12,-4.18,0
155,-0.35,0.12,-4.18,0
156,-0.34,0.15,-4.18,0
157,-0.36,0.15,-4.18,0
158,-0.37,0.12,-4.19,0
159,-0.4,0.1,-4.19,0
160,-0.42,0.09,-4.19,0
161,-0.43,0.08,-4.18,0
162,-0.43,0.04,-4.19,0
163,-0.44,-0.02,-4.2,0
164,-0.44,-0.03,-4.2,0
165,-0.44,-0.02,-4.19,0
